subject,session,run,status,rows_count,rowe_count,expected_count,reason
sub-f1,ses-littleprince,11,ok,75,75,75,
sub-f1,ses-littleprince,12,ok,117,117,117,
sub-f1,ses-littleprince,13,ok,85,85,85,
sub-f1,ses-littleprince,14,ok,133,133,133,
sub-f1,ses-littleprince,15,ok,126,126,126,
sub-f1,ses-littleprince,16,ok,42,42,42,
sub-f1,ses-littleprince,17,ok,134,134,134,
sub-f1,ses-littleprince,18,ok,122,122,122,
sub-f1,ses-littleprince,19,ok,78,78,78,
sub-f1,ses-littleprince,110,ok,219,219,219,
sub-f1,ses-littleprince,111,ok,55,55,55,
sub-f1,ses-littleprince,112,ok,28,28,28,
sub-f1,ses-littleprince,113,ok,151,151,151,
sub-f1,ses-littleprince,114,ok,125,125,125,
sub-f1,ses-littleprince,21,ok,150,150,150,
sub-f1,ses-littleprince,22,ok,36,36,36,
sub-f1,ses-littleprince,23,ok,106,106,106,
sub-f1,ses-littleprince,24,ok,26,26,26,
sub-f1,ses-littleprince,25,ok,38,38,38,
sub-f1,ses-littleprince,26,ok,42,42,42,
sub-f1,ses-littleprince,27,ok,259,259,259,
sub-f1,ses-littleprince,28,ok,49,49,49,
sub-f1,ses-littleprince,29,ok,20,20,20,
sub-f1,ses-littleprince,210,ok,123,123,123,
sub-f1,ses-littleprince,211,ok,145,145,145,
sub-f1,ses-littleprince,212,ok,278,278,278,
sub-f1,ses-littleprince,213,ok,75,75,75,
sub-f2,ses-littleprince,11,ok,75,75,75,
sub-f2,ses-littleprince,12,ok,117,117,117,
sub-f2,ses-littleprince,13,ok,85,85,85,
sub-f2,ses-littleprince,14,ok,133,133,133,
sub-f2,ses-littleprince,15,ok,126,126,126,
sub-f2,ses-littleprince,16,ok,42,42,42,
sub-f2,ses-littleprince,17,ok,134,134,134,
sub-f2,ses-littleprince,18,ok,122,122,122,
sub-f2,ses-littleprince,19,ok,78,78,78,
sub-f2,ses-littleprince,110,ok,219,219,219,
sub-f2,ses-littleprince,111,ok,55,55,55,
sub-f2,ses-littleprince,112,ok,28,28,28,
sub-f2,ses-littleprince,113,ok,151,151,151,
sub-f2,ses-littleprince,114,ok,125,125,125,
sub-f2,ses-littleprince,21,ok,150,150,150,
sub-f2,ses-littleprince,22,ok,36,36,36,
sub-f2,ses-littleprince,23,ok,106,106,106,
sub-f2,ses-littleprince,24,ok,26,26,26,
sub-f2,ses-littleprince,25,ok,38,38,38,
sub-f2,ses-littleprince,26,ok,42,42,42,
sub-f2,ses-littleprince,27,ok,259,259,259,
sub-f2,ses-littleprince,28,ok,49,49,49,
sub-f2,ses-littleprince,29,ok,20,20,20,
sub-f2,ses-littleprince,210,skipped,123,122,123,"ROWS=123, ROWE=122, expected=123"
sub-f2,ses-littleprince,211,ok,145,145,145,
sub-f2,ses-littleprince,212,ok,278,278,278,
sub-f2,ses-littleprince,213,ok,75,75,75,
sub-m1,ses-littleprince,11,ok,75,75,75,
sub-m1,ses-littleprince,12,ok,117,117,117,
sub-m1,ses-littleprince,13,ok,85,85,85,
sub-m1,ses-littleprince,14,ok,133,133,133,
sub-m1,ses-littleprince,15,ok,126,126,126,
sub-m1,ses-littleprince,16,ok,42,42,42,
sub-m1,ses-littleprince,17,ok,134,134,134,
sub-m1,ses-littleprince,18,ok,122,122,122,
sub-m1,ses-littleprince,19,ok,78,78,78,
sub-m1,ses-littleprince,110,ok,219,219,219,
sub-m1,ses-littleprince,111,ok,55,55,55,
sub-m1,ses-littleprince,112,ok,28,28,28,
sub-m1,ses-littleprince,113,ok,151,151,151,
sub-m1,ses-littleprince,114,ok,125,125,125,
sub-m1,ses-littleprince,21,ok,150,150,150,
sub-m1,ses-littleprince,22,ok,36,36,36,
sub-m1,ses-littleprince,23,ok,106,106,106,
sub-m1,ses-littleprince,24,ok,26,26,26,
sub-m1,ses-littleprince,25,ok,38,38,38,
sub-m1,ses-littleprince,26,ok,42,42,42,
sub-m1,ses-littleprince,27,ok,259,259,259,
sub-m1,ses-littleprince,28,ok,49,49,49,
sub-m1,ses-littleprince,29,ok,20,20,20,
sub-m1,ses-littleprince,210,ok,123,123,123,
sub-m1,ses-littleprince,211,ok,145,145,145,
sub-m1,ses-littleprince,212,ok,278,278,278,
sub-m1,ses-littleprince,213,ok,75,75,75,
sub-m2,ses-littleprince,11,skipped,75,76,75,"ROWS=75, ROWE=76, expected=75"
sub-m2,ses-littleprince,12,ok,117,117,117,
sub-m2,ses-littleprince,13,ok,85,85,85,
sub-m2,ses-littleprince,14,ok,133,133,133,
sub-m2,ses-littleprince,15,ok,126,126,126,
sub-m2,ses-littleprince,16,ok,42,42,42,
sub-m2,ses-littleprince,17,ok,134,134,134,
sub-m2,ses-littleprince,18,ok,122,122,122,
sub-m2,ses-littleprince,19,ok,78,78,78,
sub-m2,ses-littleprince,110,ok,219,219,219,
sub-m2,ses-littleprince,111,ok,55,55,55,
sub-m2,ses-littleprince,112,ok,28,28,28,
sub-m2,ses-littleprince,113,ok,151,151,151,
sub-m2,ses-littleprince,114,ok,125,125,125,
sub-m2,ses-littleprince,21,ok,150,150,150,
sub-m2,ses-littleprince,22,ok,36,36,36,
sub-m2,ses-littleprince,23,ok,106,106,106,
sub-m2,ses-littleprince,24,ok,26,26,26,
sub-m2,ses-littleprince,25,ok,38,38,38,
sub-m2,ses-littleprince,26,ok,42,42,42,
sub-m2,ses-littleprince,27,ok,259,259,259,
sub-m2,ses-littleprince,28,ok,49,49,49,
sub-m2,ses-littleprince,29,ok,20,20,20,
sub-m2,ses-littleprince,210,ok,123,123,123,
sub-m2,ses-littleprince,211,ok,145,145,145,
sub-m2,ses-littleprince,212,ok,278,278,278,
sub-m2,ses-littleprince,213,ok,75,75,75,
